Structure,Y
CN(C)c1ccc(cn1)C2=Cc3c(C)nc(N)nc3N([C@@H]4CC[C@@H](O)CC4)C2=O,0.0059
COc1ccc(cc1OC)c2ccc3nc(C)c(c4cnc(N)c(c4)C(F)(F)F)n3n2,0.0059
COc1ncc(cn1)C2=Cc3c(C)nc(N)nc3N([C@@H]4C[C@H](C4)OCC(=O)N)C2=O,0.00591
CC[C@@]1(C)OCCn2c1nc3c(nc(nc23)c4cnc(N)nc4)N5CCOCC5,0.00596
Cl.CN(N=Cc1cnc2ccc(C)cn12)S(=O)(=O)c3cc(ccc3C)[N+](=O)[O-],0.006
CNc1nc(C)c2C=C(C(=O)N(CC3CCOC3)c2n1)c4cn[nH]c4,0.006
Cc1cc2nc(nc(N3CCOCC3)c2s1)c4cccc(O)c4,0.006
Cc1cc(F)ccc1S(=O)(=O)Nc2cc(cnc2Cl)c3ccc4nc(N)sc4c3,0.006
CC(=O)Nc1nc2ccc(cc2s1)c3cnc(Cl)c(NS(=O)(=O)c4ccc(OC(F)F)cc4)c3,0.006
CC(=O)Nc1nc2ccc(cc2s1)c3cnc(Cl)c(NS(=O)(=O)c4cccc(Cl)c4)c3,0.006
CC(=O)Nc1cn2nc(ccc2n1)c3cnc(Cl)c(NS(=O)(=O)c4ccc(cc4)C(C)(C)O)c3,0.006
CN[C@H](C)c1ccc(cc1)S(=O)(=O)Nc2cc(cnc2Cl)c3ccc4nc(NC(=O)C)cn4n3,0.006
CC(=O)Nc1cn2nc(ccc2n1)c3cnc(Cl)c(NS(=O)(=O)N4CCOCC4)c3,0.006
CC(=O)Nc1cn2nc(ccc2n1)c3cnc(Cl)c(NS(=O)(=O)c4ccc(C)cc4)c3,0.006
CC(=O)Nc1cn2nc(ccc2n1)c3cncc(NS(=O)(=O)c4ccc(F)cc4)c3,0.006
Cc1nc(NC(=O)N2CC[C@@H](CN3CCOCC3)[C@H]2C(=O)N)sc1c4ccnc(c4)C(C)(C)C(F)(F)F,0.006
CCN(CC)c1ncc2CCc3nc(NC(=O)N4CCC[C@H]4C(=O)N)sc3c2n1,0.006
C[C@@H]1CCN([C@@H]1C(=O)N)C(=O)Nc2nc3COc4cnc(cc4c3s2)C(C)(C)C(F)(F)F,0.006
CC(=O)Nc1nc2ccc(cc2s1)c3cnc(Cl)c(NS(=O)(=O)c4cccc(c4)C(C)(C)C)c3,0.0061
CO[C@@H]1CC[C@H](CC1)N2C(=O)C(=Cc3c(C)nc(N)nc23)c4ccc(nc4)N(C)C,0.0062
CC(C)n1nc(C)nc1c2cn3CCOc4cc(OC5(C)CNC5)ccc4c3n2,0.0062
CNc1nc(C)c2C=C(C(=O)N(C3CCC3)c2n1)c4ccc(OC)nc4,0.0063
CC(=O)Nc1nc2ccc(cc2s1)c3cnc(Cl)c(NS(=O)(=O)c4cccc(c4)C(F)(F)F)c3,0.0063
CC(C)n1nc(C)nc1c2cn3CCOc4cc(ccc4c3n2)N5CCC[C@H]5CN6CCCC6,0.00632
CC(O)c1ccc(cc1)S(=O)(=O)Nc2cc(cnc2Cl)c3ccc4nc(NC(=O)C)sc4c3,0.006333333
CC(C)N1CCC(CC1)C(C)Oc2ccc3c(OCCn4cc(nc34)c5ncnn5C(C)C)c2,0.00636
CC(=O)Nc1nc2ccc(cc2s1)c3cnc(C)c(NS(=O)(=O)c4cccc(c4)C(F)(F)F)c3,0.0064
CC(=O)Nc1nc2ccc(cc2s1)c3cnc(Cl)c(NS(=O)(=O)c4ccc(C)cc4)c3,0.0064
CC(=O)Nc1nc2ccc(cc2s1)c3cncc(NS(=O)(=O)c4ccc(cc4)C(C)(C)C)c3,0.0065
CCN(CC)c1ncc2CCc3nc(NC(=O)N4C[C@@H](O)C[C@H]4C(=O)N)sc3c2n1,0.0065
COC[C@@H]1CCN([C@@H]1C(=O)N)C(=O)Nc2nc3CCc4cnc(nc4c3s2)C(C)(C)C(F)(F)F,0.0065
CCN(CC)c1ncc2CCc3nc(NC(=O)N4CCC[C@@]4(C)C(=O)N)sc3c2n1,0.0065
COc1ccc(cn1)C2=Cc3c(C)nc(N)nc3N(C4CCOCC4)C2=O,0.0066
CC(=O)Nc1nc2ccc(cc2s1)c3cnc(Cl)c(NS(=O)(=O)c4cccc(F)c4)c3,0.0066
CC(=O)Nc1nc2ccc(cc2s1)c3cnc(Cl)c(NS(=O)(=O)c4cccs4)c3,0.0066
COc1ncc(cn1)C2=Cc3c(C)nc(N)nc3N([C@@H]4C[C@H](C4)OCCO)C2=O,0.00665
Cc1nc(N)nc2N([C@@H]3CC[C@@H](O)CC3)C(=O)C(=Cc12)c4cn[nH]c4,0.0067
Nc1nc2ccc(cc2s1)c3cnc(Cl)c(NS(=O)(=O)c4cccc(OC(F)F)c4)c3,0.0067
CC(=O)Nc1nc2ccc(cc2s1)c3cncc(NS(=O)(=O)c4ccc(cc4)C(F)(F)F)c3,0.0067
CNC(=O)Nc1ccc(cc1)c2nc(N3CCOCC3)c4nc5n(CCOC5(C)C)c4n2,0.00671
CC(=O)Nc1nc2ccc(cc2s1)c3cnc(Cl)c(NS(=O)(=O)c4ccc(Cl)s4)c3,0.0068
COc1ccc(cn1)C2=Cc3c(C)nc(N)nc3N([C@@H]4CC[C@H](CC4)OC[C@@H](O)CO)C2=O,0.00682
Nc1ncc(cn1)c2nc(N3CCOCC3)c4nc5OCCCn5c4n2,0.00684
CC1N(C)CCn2c1nc3c(nc(nc23)c4cnc(N)nc4)N5CCOCC5,0.00689
CC(=O)Nc1nc2ccc(cc2s1)c3cnc(Cl)c(NS(=O)(=O)Cc4ccccc4)c3,0.0069
COc1ccc(cn1)C2=Cc3c(C)nc(N)nc3N(C4CCN(C4)C(=O)C)C2=O,0.007
OCCN1CCN(Cc2cc3nc(nc(N4CCOCC4)c3s2)c5cccc(O)c5)CC1,0.007
CC(=O)Nc1nc2ccc(cc2s1)c3cnc(C)c(NS(=O)(=O)c4ccc(cc4)C(C)(C)C)c3,0.007
CC(=O)Nc1cn2nc(ccc2n1)c3cnc(Cl)c(NS(=O)(=O)c4cccc(OC(F)F)c4)c3,0.007
CC(=O)Nc1cn2nc(ccc2n1)c3cnc(Cl)c(NS(=O)(=O)c4c(C)cccc4Cl)c3,0.007
CNC(C)c1ccc(cc1)S(=O)(=O)Nc2cc(cnc2Cl)c3ccc4nc(NC(=O)C)cn4n3,0.007
CC(=O)Nc1cn2nc(ccc2n1)c3cnc(Cl)c(NS(=O)(=O)c4ccc(F)cc4)c3,0.007
C[C@@H]1CCN([C@@H]1C(=O)N)C(=O)Nc2nc(C)c(s2)c3ccnc(c3)C4(C)CC4,0.007
CC(C)(C)c1ncc2CCc3nc(NC(=O)N4CCC4C(=O)N)sc3c2n1,0.007
CC(C)(CF)c1nc2c(CCc3nc(NC(=O)N4CCC[C@H]4C(=O)N)sc23)s1,0.007
C[C@@H]1CCN([C@@H]1C(=O)N)C(=O)Nc2nc3CCc4cnc(nc4c3s2)C(C)(C)C(F)(F)F,0.007
CC(=O)Nc1nc2ccc(cc2s1)c3cnc(C)c(NS(=O)(=O)c4cccc(OC(F)F)c4)c3,0.0071
CC(=O)Nc1nc2ccc(cc2s1)c3cnc(Cl)c(NS(=O)(=O)c4ccc(O)cc4)c3,0.0072
CC(=O)Nc1nc2ccc(cc2s1)c3cnc(Cl)c(NS(=O)(=O)c4cccc(OC(F)F)c4)c3,0.0072
Cc1nc(N)nc(n1)n2c(Nc3ccc(NC(=O)Nc4ccncc4)cc3)nc5ccccc25,0.007312
COc1ccc(cn1)C2=Cc3c(C)nc(N)nc3N(C4CCOC4)C2=O,0.0075
CC(=O)Nc1nc2ccc(nc2s1)c3cncc(NS(=O)(=O)c4ccc(F)cc4)c3,0.0075
COc1ccc(cc1)S(=O)(=O)Nc2cc(cnc2C)c3ccc4nc(NC(=O)C)sc4c3,0.0075
Cc1nc(N)nc2N([C@@H]3CC[C@H](CC3)OCCO)C(=O)C(=Cc12)c4cn[nH]c4,0.00758
COc1ccc(cn1)C2=Cc3c(C)nc(N)nc3N([C@@H]4CC[C@H](O)CC4)C2=O,0.0076
Nc1nc2ccc(cc2s1)c3cnc(Cl)c(NS(=O)(=O)c4ccc(Cl)cc4Cl)c3,0.0076
COc1ccc(cn1)C2=Cc3c(C)nc(N)nc3N(CC4CCOC4)C2=O,0.0077
CC(=O)Nc1nc2c(F)cc(cc2s1)c3cncc(NS(=O)(=O)c4ccc(cc4)C(F)(F)F)c3,0.0077
COc1ccc(cc1)S(=O)(=O)Nc2cncc(c2)c3ccc4nc(NC(=O)C)sc4c3,0.0078
CNc1nc(C)c2C=C(C(=O)N(C3CCCC3)c2n1)c4cn[nH]c4,0.008
Nc1nc2ccc(cc2n1c3ccccn3)c4cnc(Cl)c(NS(=O)(=O)c5ccc(F)cc5)c4.OC=O,0.008
